Name,Rating
The Coffee Brewery -KR Puram - Bangalore,5
V V Fast Food - Chintamani - Bangalore,1
Szafran Bar & Restaurant - Kalikapur - Kolkata,4
Natural Ice Cream - Kalyan - Thane,3.75
Gupta Sandwiches & Snacks - Vashi - Navi Mumbai,4.33
Books N Brew - Sector 16 - Chandigarh,3.69
Cafe 24 - Lonavala - Pune,5
Pizza Hut - Bajaj Nagar - Nagpur,1.67
Biriyani Ghar - Koramangala - Bangalore,3.5
Greendeed - Kandivali West - Mumbai,3.5
Break Point Dhaba - Faizabad Road - Lucknow,3.56
Gurukripa Hotel - Sion - Mumbai,4.11
Gopinath - Behala - Kolkata,4.25
Amber Mishthan Bhandar - Motilal Atal Road - Jaipur,4
Waterfalls Cafe - Salcette - Goa,0
Sri Sairam Parlour - Dwaraka Nagar Junction - Visakhapatnam,4
Quick Pick - Chandmari - Guwahati,5
The Belgian Waffle Co. - Vasai - Palghar,3.67
A Grill Company - Sector 31 - Noida,4
Indian Coffee House - Devendra Nagar - Raipur,3.5
Desi Vibes - Sector 18 - Noida,3.25
The Rogue Elephant Garden Cafe - Basavanagudi - Bangalore,2.5
Green Bakery - Sadashiv Peth - Pune,3.5
Green Leaf - CIDCO - Aurangabad,3.89
Budhan Chinese Vada Pav Center - Vasai - Palghar,3
Parivar Savji Bhojnalay - Vivekanand Nagar - Nagpur,0
Kareem's Fine Dining - Nirala Bazar - Aurangabad,1
The Biryani Factory - Ramapuram - Chennai,3.33
Annalakshmi - Egmore - Chennai,3.79
Juice Truck - Chakala - Mumbai,0
Food Junction - PNT Colony - Vijayawada,0
The Big Bun - Kamla Nagar - Agra,5
Mohit Chicken Corner - Samrala Chowk - Ludhiana,5
Sky Lounge - Rashbehari Avenue - Kolkata,4.2
Chotiwala Restaurant - Rishikesh -,2.96
The Dhaba - Marathahalli - Bangalore,2
Crispy - Banjara Hills - Hyderabad,0
Hotel Satkar - Ghatkopar - Mumbai,3
The Veg Treat I - Borivali - Mumbai,3.75
Haqsan Biryani Hotel - Gandhipuram - Coimbatore,0
